epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.602,1.95323,2.43197,1.02949,0.27836,0.18393,0.11028,0.05791,1.72899,1.51675,0.96429,0.000237706,0.000237706,0.000237706
2,208.688,1.81947,1.61816,0.98463,0.23778,0.1911,0.12699,0.06783,1.75684,1.46564,0.95677,0.000466287,0.000466287,0.000466287
3,303.76,1.78871,1.50882,0.97361,0.2664,0.22897,0.16967,0.09109,1.69424,1.35417,0.94905,0.000685443,0.000685443,0.000685443
4,395.002,1.75433,1.44065,0.96462,0.28362,0.23395,0.18468,0.09975,1.63087,1.3112,0.9476,0.000671588,0.000671588,0.000671588
5,485.996,1.7313,1.39474,0.96005,0.30013,0.24622,0.19795,0.10778,1.62305,1.27423,0.93764,0.000657451,0.000657451,0.000657451
6,572.531,1.72672,1.36587,0.95295,0.32821,0.25661,0.21257,0.1172,1.60472,1.23264,0.93127,0.000643314,0.000643314,0.000643314
7,654.452,1.70786,1.33139,0.94773,0.33182,0.25693,0.21664,0.11908,1.57816,1.22428,0.93195,0.000629177,0.000629177,0.000629177
8,738.618,1.6864,1.3029,0.94444,0.35718,0.26424,0.22289,0.12177,1.57953,1.20227,0.92938,0.00061504,0.00061504,0.00061504
9,829.161,1.67088,1.29306,0.94529,0.32756,0.2715,0.22654,0.12546,1.57114,1.18552,0.9256,0.000600902,0.000600902,0.000600902
10,921.147,1.65564,1.26596,0.93924,0.35066,0.2685,0.22891,0.12532,1.58382,1.1859,0.92456,0.000586765,0.000586765,0.000586765
11,1013.58,1.65514,1.25664,0.9374,0.37857,0.2726,0.23731,0.12767,1.56327,1.18635,0.9248,0.000572628,0.000572628,0.000572628
12,1103.38,1.64674,1.24342,0.93552,0.36262,0.28174,0.24169,0.13212,1.55586,1.1619,0.92152,0.000558491,0.000558491,0.000558491
